产品ID,产品名称,类型,形态,关系定位,目标用户,平台,记忆,语音,视觉具身,主动触达,硬件,商业模式,官网,证据状态,最近核验日期,负责人,备注,开发者,所在国家/地区,iOS App ID,Android Package,Web域名,发现来源,发现市场,规模指标类型,规模下限,规模上限,规模原文,规模数据源,规模核验日期,规模置信度,入选状态,研究层级,数据缺口,扫描批次
PRD-001,Replika,App,关系型陪伴,朋友/伴侣式长期关系,普通成人,"iOS;Android;Web",强,有,Avatar,有,无,Freemium/订阅,https://replika.com/,已核验（官方）,2026-07-16,待认领,关系状态与部分能力受订阅影响,"Luka, Inc.",美国,1158555867,ai.replika.app,https://replika.com/,既有重点产品+Google Play 商店页,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=ai.replika.app,2026-07-16,高,符合规模,标杆,"iOS规模;定价;评论;截图",B001
PRD-002,Nomi,App,关系型陪伴,朋友/伴侣/导师,普通成人,"iOS;Android;Web",强,双向语音,Avatar,有,无,Freemium/订阅,https://nomi.ai/,已核验（官方）,2026-07-16,待认领,当前美国区 iOS App ID 已由 Apple Search API 核验为 6450270929,"AI GLIMPSE INC",美国,6450270929,ai.nomi.twa,https://nomi.ai/,既有重点产品+Google Play 商店页,"US;全球",Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=ai.nomi.twa,2026-07-16,高,符合规模,标杆,"iOS规模;定价;评论;截图",B001
PRD-003,Kindroid,App,高度可配置陪伴,自建人格/关系,偏好深度定制的成人,"iOS;Android;Web",强且可见,有,Avatar,有,无,Freemium/订阅,https://kindroid.ai/,已核验（官方帮助中心）,2026-07-16,待认领,记忆分层、可查看部分召回记忆,Beautifully Incorporated,美国,6451038161,com.kindroid.app,https://kindroid.ai/,既有重点产品+Google Play 商店页,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.kindroid.app,2026-07-16,高,符合规模,标杆,"iOS规模;定价;评论;截图",B001
PRD-004,Character.AI,App,角色与内容互动,角色扮演/社区创作,角色内容用户,"iOS;Android;Web",非本轮重点,角色通话,角色卡,非核心,无,Freemium/订阅,https://character.ai/,已核验（官方）,2026-07-16,待认领,UGC 角色与群聊构成内容网络,"Character Technologies, Inc.",美国,1671705818,ai.character.app,https://character.ai/,既有重点产品+Google Play 商店页,"US;全球",Android安装区间,50000000,99999999,50M+,https://play.google.com/store/apps/details?id=ai.character.app,2026-07-16,高,符合规模,标杆,"iOS规模;定价;评论;截图",B001
PRD-005,Tolan,App,非人化具身陪伴,外星朋友,希望温暖陪伴且保持现实边界的用户,"iOS;Android（美国区入口待核验）",强,Voice-first,动画角色,核心之一,无,Freemium/订阅,https://www.tolans.com/,已核验（官方；效果为厂商自述）,2026-07-17,待认领,"iOS 美国区当前可用；Android 既有 50K+ 记录，但美国区 Package 于 2026-07-17 返回 404",AQP Inc.,美国,6477549878,com.portola.tolan,https://www.tolans.com/,既有重点产品+商店状态复核,"US;全球",历史Android安装区间,50000,99999,50K+,https://play.google.com/store/apps/details?id=com.portola.tolan,2026-07-17,高,规模待核验,标杆,"Android状态;iOS规模;定价;评论;截图",B001
PRD-006,Friend,硬件,可穿戴挂坠,随身AI朋友,希望 AI 感知日常上下文的用户,"iOS;Web;硬件",依赖对话与环境上下文,文字/挂坠按键输入,实体挂坠,依赖环境上下文,挂坠,网页聊天免费+可选硬件一次性购买,https://friend.com/?page=hardware,已核验（官方与商店；体验待独立验证）,2026-07-17,待认领,"官网明确网页聊天免费、可选挂坠 129 美元；隐私政策覆盖持续环境音视频和生物识别数据，真实数据流与退出控制仍待实测","Friend Global, Inc.",美国,6739473884,,https://friend.com/,既有战略硬件+官网与 App Store 复核,US,未知,,,销量/出货量待核验,https://friend.com/?page=hardware,2026-07-17,低,规模待核验,重点,"销量;长期留存;真实数据流;记忆控制;独立体验",B001
PRD-007,ElliQ,硬件,家用陪伴设备,主动陪伴/照护,60+ 及其家庭,家用硬件+家属App,场景记忆,有,实体设备,核心,桌面设备,订阅/服务,https://elliq.com/pages/faqs,已核验（官方）,2026-07-16,待认领,用户与家属构成双边价值,Intuition Robotics,以色列/美国,,,,既有战略硬件,US,未知,,,用户数/出货量待核验,https://elliq.com/pages/faqs,2026-07-16,低,规模待核验,标杆,"活跃状态;定价;评论;截图",B001
PRD-008,Moflin,硬件,AI宠物,宠物式陪伴,偏好低语言压力与触觉陪伴的用户,AI宠物+App,养成式,非核心,实体宠物,行为响应,AI宠物,硬件+配套服务,https://www.casio.com/us/moflin/,已核验（官方；效果为厂商表述）,2026-07-16,待认领,触摸、陪抱和差异化成长是核心,CASIO,日本,,,,既有战略硬件,"US;JP",未知,,,销量/出货量待核验,https://www.casio.com/us/moflin/,2026-07-16,低,规模待核验,标杆,"活跃状态;定价;评论;截图",B001
PRD-009,Talkie,App,角色与内容互动,多模态 UGC 角色/内容社区,角色创作者、角色内容与互动故事用户,"iOS;Android;Web",扩展记忆（厂商描述）,角色语音/音频创作,角色卡/图像/视频/音乐,Feed/社区更新,无,Freemium+订阅+广告+虚拟物品,https://www.talkie-ai.com/,采集中,2026-07-17,待认领,"Android 当前为 Talkie: Creative AI Community，50M+、4.6 分与约 804K 评论；美国区 iOS 活跃条目已确认为 Talkie Soulful AI，原 Talkie Lab 映射纠正",SUBSUP PTE. LTD.,新加坡,6450143363,com.weaver.app.prod,https://www.talkie-ai.com/,关键词扫描+Google Play 商店页+App Store 复核,"US;全球",Android安装区间,50000000,99999999,50M+,https://play.google.com/store/apps/details?id=com.weaver.app.prod,2026-07-17,高,符合规模,重点,"Feed到聊天转化;记忆实效;广告触发;规则解释;账号内截图",B001
PRD-010,CHAI,App,角色与内容互动,成人 UGC 角色聊天/角色扮演,偏好快速进入角色聊天和写作的成人用户,"iOS;Android",评论显示历史连续性风险,角色语音,角色卡,非核心,无,Freemium+订阅+广告,https://www.chai-research.com/,采集中,2026-07-17,待认领,"Android 10M+、约 2.8 分与 807K 评论；美国区 iOS 活跃条目已确认为 Chai: Social AI Platform，近期评论集中报告历史清空与强制付费迁移",Chai Research Corp.,美国,1544750895,com.Beauchamp.Messenger.external,https://www.chai-research.com/,关键词扫描+Google Play 商店页+App Store 复核,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=com.Beauchamp.Messenger.external,2026-07-17,高,符合规模,重点,"迁移事故范围;免费额度;记忆控制;订阅恢复;账号内截图",B001
PRD-011,Anima,App,关系型陪伴,朋友/伴侣式关系,普通成人,"iOS;Android",中,有,Avatar,有,无,Freemium/订阅,https://myanima.ai/,采集中,2026-07-16,待认领,美国区 Apple Search 未找到可确认的当前 iOS 条目,Apperry Ltd.,,,anima.virtual.ai.robot.friend,https://myanima.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=anima.virtual.ai.robot.friend,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-012,Paradot,App,关系型陪伴,AI 朋友/数字生命,偏好持续关系的成人,"iOS;Android",强,有,Avatar,有,无,Freemium/订阅,https://www.paradot.ai/,采集中,2026-07-16,待认领,Google Play 安装区间达到 10M+,Dots Parallel TX Limited,,6451469304,com.withfeelingai.test,https://www.paradot.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=com.withfeelingai.test,2026-07-16,高,符合规模,重点,"iOS规模;定价;评论;截图",B001
PRD-013,EVA AI,App,关系型陪伴,恋爱/灵魂伴侣,成人浪漫陪伴用户,"iOS;Android",中,有,Avatar,有,无,Freemium/订阅,https://evaapp.ai/,采集中,2026-07-16,待认领,Google Play 安装区间达到 5M+,Novi Limited,,1551794721,com.ifriend.app,https://evaapp.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.ifriend.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-014,PolyBuzz,App,角色与内容互动,角色扮演/UGC 角色,角色内容用户,"iOS;Android;Web",中,有,角色卡/生成图,有,无,Freemium/订阅,https://www.polybuzz.ai/,采集中,2026-07-16,待认领,Google Play 安装区间达到 10M+,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,美国,6449190344,ai.socialapps.speakmaster,https://www.polybuzz.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-015,HiWaifu,App,角色与关系互动,朋友/恋爱/角色扮演,成人角色聊天用户,"iOS;Android",中,有,角色卡,有,无,Freemium/订阅,https://hiwaifu.com/,采集中,2026-07-16,待认领,当前 Google Play 包名为 com.hiwaifu.app；原线索 com.ai.friend.chatbot 页面不可访问,LANGUAGE POWER MEDIA LIMITED,,6447806780,com.hiwaifu.app,https://hiwaifu.com/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.hiwaifu.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-016,Linky,App,角色与内容互动,AI 角色创建/角色扮演,角色内容与创作用户,"iOS;Android",中,有,角色卡/生成图,有,无,Freemium/订阅,https://linky-ai.com/,采集中,2026-07-16,待认领,Google Play 安装区间达到 5M+,SKYWORK AI PTE LTD,新加坡,6450916631,com.aigc.ushow.ichat,https://linky-ai.com/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-017,Romantic AI,App,恋爱型陪伴,AI 女友/朋友,成人浪漫陪伴用户,Android,中,文本,Avatar,有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 标题为 AI Girlfriend: Romantic Chat,RoboBot Studio,意大利,,com.testa.chatbot,,Google Play 关键词扫描,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.testa.chatbot,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-018,iGirl,App,恋爱型陪伴,AI 女友/角色扮演,成人浪漫陪伴用户,Android,中,文本,"2D/3D Avatar",有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+,LABANE CORP. Limited,,,ai.girlfriend.virtual.dating.lover.igirl,,Google Play 关键词扫描,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=ai.girlfriend.virtual.dating.lover.igirl,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-019,Pi,App,情绪支持型陪伴,支持者/倾听者,希望讨论生活和情绪的普通用户,"Web;短信;WhatsApp;移动端状态待核验",中,实时语音/待核验,无,非核心,无,待核验,https://pi.ai/,采集中,2026-07-17,待认领,"当前官网继续提供 Web、短信和 WhatsApp；历史 Google Play 公开安装区间 500K+，移动应用当前状态需复核",Inflection AI,美国,,ai.inflection.pi,https://pi.ai/,Google Play 历史记录+官网复核,"US;全球",历史Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.inflection.pi,2026-07-17,高,符合规模,重点,"移动端状态;现行商业模式;评论;截图",B001
PRD-020,Botify AI,App,角色与内容互动,AI 角色/灵魂伴侣/社区,角色创建与角色扮演用户,"iOS;Android;Web",中,语音/通话,角色卡/生成图,有,无,Freemium/订阅,https://botify.ai/,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+,Ex-human Inc.,美国,,ai.botify.app,https://botify.ai/,Google Play 关键词扫描,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=ai.botify.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-021,Dopple.AI,App,角色与内容互动,社区角色/角色扮演,角色内容用户,"iOS;Android;Web",中,文本,角色卡,非核心,无,Freemium/订阅,https://dopple.ai/,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；页面更新停留在 2025-06,Dopple Labs Inc.,美国,,mobile.dopple.ai,https://dopple.ai/,Google Play 相似应用+关键词扫描,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=mobile.dopple.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;活跃状态;定价;评论;截图",B001
PRD-022,Emochi,App,角色与内容互动,动漫角色/故事/角色扮演,动漫与角色内容用户,"iOS;Android;Web",中,文本,动画角色/生成图,有,无,Freemium/订阅,https://emochi.com/,采集中,2026-07-16,待认领,Google Play 公开安装区间 10M+ 且评论量高，优先进入评论抽样,FlowGPT,美国,,com.flow.mobile,https://emochi.com/,Google Play 关键词扫描,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=com.flow.mobile,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-023,RolePlai,App,高度可配置陪伴,自建角色/冒险/关系,偏好角色定制与故事的用户,"iOS;Android",中,语音/Face Chat,Avatar,有,无,Freemium/订阅,https://roleplai.app/,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+,RolePlai,,1671444242,com.roleplai.app,https://roleplai.app/,Google Play 关键词扫描,"US;全球",Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.roleplai.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-024,Poppy,App,恋爱与角色互动,动漫伴侣/角色扮演,成人动漫角色聊天用户,Android,中,文本,动漫角色,有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+,Fainax Apps,,,com.poppy.helper.tkb,,Google Play 关键词扫描,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.poppy.helper.tkb,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-025,Crush AI,App,恋爱型陪伴,AI 女友/虚拟伴侣,成人浪漫陪伴用户,Android,中,文本,Avatar,有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；不是 CrushOn.AI,X PhotoKit,,,com.xphotokit.crushai,,Google Play 关键词扫描,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.xphotokit.crushai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-026,Rosytalk,App,角色与内容互动,虚拟伴侣/角色扮演/情绪支持,角色与陪伴用户,Android,有（厂商描述）,语音/视频通话,角色卡/生成图,有（厂商描述）,无,Freemium/订阅,,采集中,2026-07-16,待认领,"商店页强调记忆、主动对话、角色创建和实时通话",MINDZEN AI,,,com.rosytalk.ai,,Google Play关键词扫描+开发者组合,US,Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.rosytalk.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论",B002
PRD-027,Fantasia,App,角色与内容互动,角色扮演/AI 角色,角色内容用户,Android,待核验,待核验,角色卡/生成图,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-03 更新,MINDZEN AI,,,com.fantasia.ai,,Google Play关键词扫描+开发者组合,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.fantasia.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-028,Dialogue,App,角色与关系互动,AI 角色/数字伴侣,希望沉浸式陪伴的成人用户,Android,待核验,待核验,角色卡/数字人,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 标题为 Dialogue: AI Chat & Companion；2026-06-26 更新,Pheon,,,com.pheon,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.pheon,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-029,Saylo,App,角色与内容互动,创意世界/故事/角色扮演,故事与角色内容用户,Android,待核验,待核验,角色卡/生成内容,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 5M+；2026-07-04 更新,X ORIGINAL(HONG KONG) LIMITED,中国香港,,com.xverse.aistory,,Google Play关键词扫描+相似应用,US,Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.xverse.aistory,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-030,Otherhalf,App,关系型陪伴,动漫朋友/情绪陪伴,偏好固定动漫角色的用户,Android,待核验,待核验,动漫角色,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；2026-05-14 更新,"Azimov, Inc",美国,,com.azimov.otherhalf,,Google Play关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.azimov.otherhalf,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-031,MingloTalk,App,角色与内容互动,AI 角色聊天/角色扮演,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2026-06-09 更新,shopihi,,,ai.minglotalk.chatbot,,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.minglotalk.chatbot,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-032,Dootchi,App,角色与内容互动,AI 角色聊天/角色扮演,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-06-25 更新,Hello Kirana,,,com.lucky.zootchi,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.lucky.zootchi,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-033,Cycle AI,App,角色与关系互动,AI 朋友/角色扮演,角色与陪伴用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-03 更新,Beefun Pte. Ltd.,新加坡,,com.cycleai.android,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.cycleai.android,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
