产品ID,产品名称,类型,形态,关系定位,目标用户,平台,记忆,语音,视觉具身,主动触达,硬件,商业模式,官网,证据状态,最近核验日期,负责人,备注,开发者,所在国家/地区,iOS App ID,Android Package,Web域名,发现来源,发现市场,规模指标类型,规模下限,规模上限,规模原文,规模数据源,规模核验日期,规模置信度,入选状态,研究层级,数据缺口,扫描批次
PRD-068,Awarefy,App,情绪支持型陪伴,AI Mental Partner/记录与自助练习,日本及英语市场的心理健康自助用户,"iOS;Android",记录/周报/AI 洞察,音频练习；AI 聊天语音待核验,无,晨晚 Check-in/Check-out,无,Freemium+分层订阅,https://www.awarefy.com/,采集中,2026-07-17,待认领,"Android 100K+、约 3.5 分与 2.78K 评论；把晨晚记录、情绪笔记、应对清单、周报与 AI 对话组成结构化循环；英文覆盖和能量/付费限制是评论风险","Awarefy, K.K.",日本,1513802951,app.awarefy.awarefyapp,https://www.awarefy.com/,Google Play 关键词扫描+相似应用+App Store 复核,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=app.awarefy.awarefyapp,2026-07-17,高,符合规模,重点,"Web规模;AI Partner 额度;英文完整度;记忆控制;账号内截图",B003
PRD-069,Woebot,App,情绪支持型陪伴,心理健康 Ally/对话式自助,寻求心理健康支持的用户,Android,待核验,待核验,机器人角色,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；最近更新 2024-11-01,Woebot Health Inc,美国,,com.woebot,,Google Play 关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.woebot,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图;安全,B003
PRD-070,Cupiee,App,情绪支持与社交,情绪 AI 伙伴/社区互动,寻求表达与轻社交的用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2025-08-22,Oraichain Labs US,美国/越南,,com.cupiee,,Google Play 关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.cupiee,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B003
PRD-071,Aspect,App,AI 社交模拟,AI-only 社交媒体/多角色互动,偏好模拟社交和内容互动的用户,"iOS;Android",角色背景/互动连续性待核验,Feed 内角色发帖/评论/DM,AI 角色卡/图片/Feed,待核验,无,Freemium/订阅,https://www.aspectapp.xyz/,已核验（官方；体验待独立验证）,2026-07-17,待认领,"Google Play 100K+、约 4.4 分与 13.4K 评论；产品以 Feed、帖子、图片、评论、DM 和自建角色模拟只有一个真人的社交世界，评论同时指出免费额度、发布失败、角色同质化和账号丢失风险","Arch Platforms, Inc",美国,6502742786,xyz.aspectapp.aspect,https://www.aspectapp.xyz/,Google Play 关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=xyz.aspectapp.aspect&hl=en_US&gl=US,2026-07-17,高,符合规模,重点,"记忆结构;角色多样性;免费权益;账号恢复;安全边界;账号内截图",B003
PRD-072,Lumia,App,角色与关系互动,AI 角色聊天/角色扮演,角色与陪伴用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；最近更新 2026-07-01,Amobear Application - AILABS.,越南,,com.aichat.aigirlfriend.roleplay,,Google Play 关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.aichat.aigirlfriend.roleplay,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B003
PRD-073,Koko AI,App,3D 角色互动,3D AI 角色/互动游戏,偏好视觉具身角色的用户,Android,待核验,待核验,3D Avatar,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2025-10-10,Seele Technology Limited,中国香港,,com.seele.app.kokoai,,Google Play 关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.seele.app.kokoai,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B003
PRD-074,SoulTalk,App,关系型陪伴,AI 朋友/谈话伙伴,寻求日常对话陪伴的用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-06-30,Mutha Brothers,印度,,com.aipartner.soulchat,,Google Play 关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.aipartner.soulchat,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B003
PRD-075,AI Game Master,App,互动叙事,AI 地牢/RPG 游戏主持,互动故事与 RPG 用户,Android,待核验,待核验,文本故事,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-07-13,Digital Dynasty Entertainment Inc,,,com.aisuccess.ai_game_master,,Google Play 关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.aisuccess.ai_game_master,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B003
PRD-076,TiKie,App,角色与内容互动,幻想角色扮演/AI 角色,幻想故事与角色用户,Android,待核验,待核验,角色卡/故事,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；最近更新 2026-06-18,Junoverse,,,com.tikie.ai.android,,Google Play 关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.tikie.ai.android,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B003
PRD-077,Spicy Chat: AI boy & girl,App,角色与关系互动,AI 角色聊天/暧昧互动,角色扮演与虚拟关系用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2025-08-30,Walking Technology,,,ai.spicy.spicychat.mate,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=ai.spicy.spicychat.mate,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B004
PRD-078,Tavo,App,角色扮演前端,AI 角色扮演/多模型前端,高自由度角色扮演用户,Android,待核验,待核验,角色卡/文本,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-07-08,Tools,,,app.bitbear.tav,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=app.bitbear.tav,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图;安全,B004
PRD-079,Pink AI,App,动漫角色互动,动漫 AI 角色聊天,动漫角色与虚拟关系用户,Android,待核验,待核验,动漫角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-04-10,EnterGames pvt,,,com.aichatwithaipeople.makefriends,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.aichatwithaipeople.makefriends,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B004
PRD-080,Susan,App,动漫角色互动,动漫 AI 角色聊天/角色扮演,动漫角色与虚拟关系用户,Android,待核验,待核验,动漫角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；最近更新 2026-03-03,Susan AI,,,com.airoleplaychat.aichatallworld,,B004 候选核验,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.airoleplaychat.aichatallworld,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B004
PRD-081,HoneyChat,App,关系型陪伴,AI 朋友/虚拟关系,寻求轻量日常陪伴的用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-06-29,Turamcatu Semutatum,,,com.honeychat.friernd,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.honeychat.friernd,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B004
PRD-082,FableAI,App,互动叙事,AI 文字冒险/RPG,互动故事与角色扮演用户,Android,待核验,待核验,文本故事,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-07-16,Vectolab,,,com.jmsc.fableai,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.jmsc.fableai,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B004
PRD-083,Dreamate,App,恋爱型陪伴,AI 伴侣/角色扮演,虚拟恋爱与角色扮演用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2025-08-20,Random Chat Rooms Roulette,,,com.roleplaychatacter.dreamx,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.roleplaychatacter.dreamx,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B004
PRD-084,Lizlis,App,角色与关系互动,AI 角色聊天/虚拟关系,角色扮演与陪伴用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-07-12,Excellia LLC,,,ai.lizlis.app,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=ai.lizlis.app,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B004
PRD-085,AngelAI,App,关系型陪伴,AI 角色朋友/聊天伙伴,寻求日常聊天与角色陪伴的用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-02-09,Chat with Strangers Friends,,,com.angleaichatfriends.makefriends2025,,B004 候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.angleaichatfriends.makefriends2025,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图,B004
PRD-086,Mental,App,情绪支持型陪伴,AI 心理支持/自助对话,寻求情绪支持的成人用户,Android,待核验,待核验,无/待核验,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2025-01-30,"Mental, Inc.",,,com.getmental.mental,,B004 心理支持候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.getmental.mental,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;活跃状态;定价;评论;截图;安全,B004
PRD-087,AI Therapist - Voice Chat,App,情绪支持型陪伴,语音 AI 倾听/情绪支持,偏好语音表达的成人用户,Android,待核验,有,无/待核验,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-07-05,"Appovatia, Inc.",,,com.aimoodtracker,,B004 心理支持候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.aimoodtracker,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图;安全,B004
PRD-088,SimSimi,App,开放式聊天机器人,娱乐聊天/轻社交陪伴,大众娱乐聊天用户,"iOS;Android;Web",众包问答对/个人角色背景；长期记忆待核验,网站角色发现与传统聊天；主动消息待核验,固定 SimSimi/UGC 角色卡,评论请求语音；当前待核验,无,广告+订阅+Boost 虚拟币,https://simsimi.com/en,已核验（官方；体验待独立验证）,2026-07-17,待认领,"Google Play 100M+、约 4.2 分与 4.16M 评论；经典 Everyone's SimSimi 由大量用户共同教导，当前官网又加入 UGC 角色发现、创建和 Boost，形成从大众娱乐机器人向角色平台迁移的双重结构",SimSimi Inc.,韩国,375239755,com.ismaker.android.simsimi,https://simsimi.com/en,B004 传统聊天产品补录,"US;全球",Android安装区间,100000000,499999999,100M+,https://play.google.com/store/apps/details?id=com.ismaker.android.simsimi&hl=en_US&gl=US,2026-07-17,高,符合规模,重点,"长期记忆;角色平台迁移;Boost成本;评论;安全;内容治理",B004
PRD-089,AI Tales,App,互动叙事,AI 地牢故事/RPG,互动故事与冒险用户,Android,待核验,待核验,文本故事,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；最近更新 2026-07-04,Dmytro Ishchenko,,,com.feynmanapps.aitales,,B004 互动叙事候选核验,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.feynmanapps.aitales,2026-07-16,高,符合规模,标准卡,iOS规模;Web规模;定价;评论;截图,B004
PRD-090,Caveduck,App,角色平台,AI 朋友/角色扮演/UGC,角色探索、长回复和虚拟关系用户,"iOS;Android;Web",适应风格/具体记忆待核验,待核验,角色卡,亲密度标签/日常登录,无,Freemium+虚拟币+订阅,https://caveduck.io/,采集中,2026-07-17,待认领,"Android 100K+、约 3.1 分与 776 评论；官方称有 40,000+ 角色和自由对话，评论认可长回复、适应性与亲密度标签，也指出导航和长聊付费摩擦",Warp Space Inc,韩国,6670697577,com.warpspace.caveduckaos,https://caveduck.io/,B004 区域角色平台核验+App Store 复核,"US;KR;全球",Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.warpspace.caveduckaos,2026-07-17,高,符合规模,重点,"记忆结构;亲密度作用;虚拟币消耗;安全边界;账号内截图",B004
PRD-091,JanitorAI,App,Web 角色平台,UGC 角色聊天/角色扮演/创作框架,高自由度长篇角色扮演和高级提示用户,Web,上下文+提示+脚本/lorebook,待核验,角色卡,Follow/Favorites/热门榜,无,首方 JLLM+外部代理/成本待核验,https://janitorai.com/,已核验（官方；体验待独立验证）,2026-07-17,待认领,"官网当前公开 15M+ 用户，热门角色单项显示数千万聊天；帮助中心覆盖 JLLM、外部代理、OpenRouter、自定义提示、脚本、触发器和 lorebooks，形成高自由度但高学习成本的创作工具链",JanitorAI,,,,https://janitorai.com/,B004 Web-only 战略扫描,全球,公开用户数/MAU,15000000,,15M+ users,https://janitorai.com/,2026-07-17,高,符合规模,重点,"当前活跃口径;JLLM额度;外部代理成本;上下文上限;安全与隐私;账号内截图",B004
PRD-092,CrushOn.AI,App,Web 角色平台,AI 角色聊天/虚拟关系,成人角色扮演与虚拟关系用户,Web,待核验,待核验,角色卡,待核验,无,Freemium/订阅,https://crushon.ai/,已核验（官方；体验待独立验证）,2026-07-16,待认领,与 PRD-077 的 Android 同名近似产品分开记录；公开用户规模待核验,CrushOn.AI,,,,https://crushon.ai/,B004 Web-only 战略扫描,全球,未知,,,公开规模待核验,https://crushon.ai/,2026-07-16,低,规模待核验,标准卡,Web规模;定价;评论;截图;安全,B004
PRD-093,SpicyChat,App,Web 角色平台,AI 角色聊天/角色扮演,成人角色扮演与虚拟关系用户,Web,待核验,待核验,角色卡,待核验,无,Freemium/订阅,https://spicychat.ai/,已核验（官方；体验待独立验证）,2026-07-16,待认领,与 PRD-077 的 Android 产品分开记录；官方网页产品规模待核验,SpicyChat AI,,,,https://spicychat.ai/,B004 Web-only 战略扫描,全球,未知,,,公开规模待核验,https://spicychat.ai/,2026-07-16,低,规模待核验,标准卡,Web规模;定价;评论;截图;安全,B004
PRD-094,Candy.ai,App,Web 虚拟伴侣,AI 女友/男友与多模态互动,成人虚拟关系用户,Web,待核验,有,角色图像,待核验,无,Freemium/订阅,https://candy.ai/,已核验（官方；体验待独立验证）,2026-07-16,待认领,官方首页核验虚拟伴侣定位；公开用户规模待核验,Candy AI,,,,https://candy.ai/,B004 Web-only 战略扫描,全球,未知,,,公开规模待核验,https://candy.ai/,2026-07-16,低,规模待核验,标准卡,Web规模;定价;评论;截图;安全,B004
PRD-095,Muah AI,App,Web 虚拟伴侣,AI 伴侣/文字语音图像互动,成人虚拟关系用户,Web,待核验,有,角色图像,待核验,无,Freemium/订阅,https://muah.ai/,已核验（官方；体验待独立验证）,2026-07-16,待认领,官方首页核验多模态 AI 伴侣定位；公开用户规模待核验,Muah AI,,,,https://muah.ai/,B004 Web-only 战略扫描,全球,未知,,,公开规模待核验,https://muah.ai/,2026-07-16,低,规模待核验,标准卡,Web规模;定价;评论;截图;安全,B004
PRD-096,Kuki,App,Web 聊天角色,娱乐型 AI 聊天/品牌角色,大众娱乐聊天与品牌互动用户,Web,待核验,待核验,固定 Avatar,待核验,无,订阅/服务,https://www.kuki.ai/,已核验（官方；体验待独立验证）,2026-07-16,待认领,官方首页将 Kuki 定位为面向人类的 AI 大脑与数字角色；公开活跃规模待核验,ICONIQ AI,,,,https://www.kuki.ai/,B004 传统 Web 聊天产品补录,全球,未知,,,公开规模待核验,https://www.kuki.ai/,2026-07-16,低,规模待核验,标准卡,Web规模;定价;评论;截图;活跃状态,B004
PRD-097,Loona,硬件,轮式 AI 宠物,宠物式陪伴/家庭互动,家庭、儿童与桌面机器人爱好者,AI宠物+App,有（官方自述；待独立验证）,有,实体机器人/屏幕表情/视觉识别,有,AI宠物,一次性硬件+持续服务,https://keyirobot.com/en-us/products/petbot,已核验（官方；体验待独立验证）,2026-07-17,待认领,"美国官网当前 Loona Petbot Premium 售价 $429（划线 $529）；Google Play 100K+；配套 App 稳定性和长期记忆待实测",KEYi Tech,,1615527592,com.keyitech.loona,https://keyirobot.com/en-us/products/petbot,B004 硬件战略扫描,"US;全球",Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.keyitech.loona&hl=en_US&gl=US,2026-07-17,高,符合规模,重点,"iOS规模;安全;活跃状态",B004
PRD-098,EMO,硬件,桌面 AI 宠物,宠物式陪伴/桌面互动,桌面机器人与数字宠物用户,AI宠物+App,有（成长/人格自述；事实记忆待核验）,有,实体机器人/屏幕表情/人脸识别,有,桌面设备,硬件+配套服务,https://living.ai/emo/,已核验（官方；体验待独立验证）,2026-07-17,待认领,"官方当前 EMO 套装售价 $279，含机器人、滑板和智能灯；App Store 当前条目已核验，Android 对应包当前返回 404",LivingAI,,1536137388,,https://living.ai/emo/,B004 硬件战略扫描,"US;全球",未知,,,公开出货量待核验,https://living.ai/emo/,2026-07-17,低,规模待核验,重点,"iOS规模;安全;活跃状态",B004
PRD-099,Eilik,硬件,桌面情绪机器人,非语言宠物式陪伴/多机互动,桌面陪伴与礼品用户,AI宠物+App,无/待核验,有限/待核验,实体机器人/表情动作,有,桌面设备,硬件+配套服务,https://store.energize-lab.com/products/eilik,已核验（官方；体验待独立验证）,2026-07-16,待认领,官方页面核验情绪表达与桌面互动定位；出货量待核验,Energize Lab,,,,https://store.energize-lab.com/products/eilik,B004 硬件战略扫描,全球,未知,,,公开出货量待核验,https://store.energize-lab.com/products/eilik,2026-07-16,低,规模待核验,标准卡,定价;评论;截图;安全;活跃状态,B004
PRD-100,AIBI Pocket,硬件,口袋 AI 宠物,随身宠物式陪伴/语音助手,随身机器人与数字宠物用户,AI宠物+App,弱（人脸识别；长期记忆待核验）,有,口袋实体/屏幕表情/摄像头,有,AI宠物,一次性硬件+持续服务,https://living.ai/aibi/,已核验（官方；体验待独立验证）,2026-07-17,待认领,"官方当前售价 $249；支持人脸识别、拍照、离线指令、在线 ChatGPT 问答、天气动画和提醒；论坛反馈显示固件与蓝牙稳定性仍需实测",LivingAI,,,,https://living.ai/aibi/,B004 硬件战略扫描,"US;全球",未知,,,公开出货量待核验,https://living.ai/aibi/,2026-07-17,低,规模待核验,重点,"iOS规模;Android规模;安全;活跃状态",B004
PRD-101,Ropet,硬件,毛绒 AI 宠物,情绪陪伴/多模态宠物互动,偏好触觉与宠物式陪伴的用户,AI宠物+App,有（成长阶段/称呼；待独立验证）,有,毛绒实体/动作表情/摄像头,有,AI宠物,硬件+配套服务,https://ropetai.com/products/ropet%E2%84%A2-ai-comfort-companion-plush-robot,已核验（官方；体验待独立验证）,2026-07-17,待认领,"官方当前基础款促销价 $349（常规价 $469）；Google Play 1K+、约 3.9 分与 37 条评论；因独特触觉机制保留为重点，不以规模入选",Ropet AI,,6744607623,com.ropet.domon,https://ropetai.com/,B004 硬件战略扫描,"US;全球",Android安装区间,1000,4999,1K+,https://play.google.com/store/apps/details?id=com.ropet.domon&hl=en_US&gl=US,2026-07-17,高,候选,重点,"iOS规模;安全;活跃状态",B004
